"EventlogID";"UserName";"ProcessID";"MachineName";"MethodName";"TypeName";"FileName";"LineNo";"EventSource";"EventTime";"EventType";"ErrorNo";"EventMsg"
"569912";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:31:35.000";"[Info]";"0";"Started processing Details On The Transaction Dimension"
"569911";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:31:21.000";"[Info]";"0";"Started processing Contract Type Dimension"
"569910";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:31:15.000";"[Info]";"0";"Started processing Calendar Dimension"
"569909";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:31:10.000";"[Info]";"0";"Started processing Trading Counterparty Dimension"
"569908";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:31:09.000";"[Info]";"0";"Started processing Trading Book Dimension"
"569907";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:31:04.000";"[Info]";"0";"Started processing Source Currency Dimension"
"569906";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:31:03.000";"[Info]";"0";"Started processing Risk Mitigation Reporting Dimension"
"569900";"DOM1\S31023";"0";"SM06245";;;;"0";"LogicWatcher";"2014-01-27 14:31:00.000";"[Info]";"0";"Beginning of package execution.  "
"569901";"DOM1\S31023";"0";"SM06245";;;;"0";"Poll for Conditional Logic";"2014-01-27 14:31:00.000";"[Error]";"8";"The script returned a failure result."
"569902";"DOM1\S31023";"0";"SM06245";;;;"0";"LogicWatcher";"2014-01-27 14:31:00.000";"[Error]";"8";"The script returned a failure result."
"569903";"DOM1\S31023";"0";"SM06245";;;;"0";"LogicWatcher";"2014-01-27 14:31:00.000";"[Info]";"1";"End of package execution.  "
"569904";"DOM1\S31023";"0";"SM06245";;;;"0";"Upload XML to TR";"2014-01-27 14:31:00.000";"[Info]";"0";"Beginning of package execution.  "
"569905";"DOM1\S31023";"0";"SM06245";;;;"0";"Upload XML to TR";"2014-01-27 14:31:00.000";"[Info]";"0";"End of package execution.  "
"569899";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:30:59.000";"[Info]";"0";"Started processing Reporting Entity Dimension"
"569898";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:30:54.000";"[Info]";"0";"Started processing Reporting Currency Dimension"
"569897";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:30:30.000";"[Info]";"0";"Started processing Parties To The Contract Dimension"
"569896";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:30:24.000";"[Info]";"0";"Started processing Our Entity Dimension"
"569895";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:30:14.000";"[Info]";"0";"Started processing Option Detail Dimension"
"569892";"DOM1\S31023";"0";"SM06245";;;;"0";"Upload XML to TR";"2014-01-27 14:30:02.000";"[Info]";"0";"Beginning of package execution.  "
"569893";"DOM1\S31023";"0";"SM06245";;;;"0";"Upload XML to TR";"2014-01-27 14:30:02.000";"[Info]";"0";"End of package execution.  "
"569894";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:30:02.000";"[Info]";"0";"Started processing Modification To The Contract Dimension"
"569888";"DOM1\S31023";"0";"SM06245";;;;"0";"LogicWatcher";"2014-01-27 14:30:01.000";"[Info]";"0";"Beginning of package execution.  "
"569889";"DOM1\S31023";"0";"SM06245";;;;"0";"Poll for Conditional Logic";"2014-01-27 14:30:01.000";"[Error]";"8";"The script returned a failure result."
"569890";"DOM1\S31023";"0";"SM06245";;;;"0";"LogicWatcher";"2014-01-27 14:30:01.000";"[Error]";"8";"The script returned a failure result."
"569891";"DOM1\S31023";"0";"SM06245";;;;"0";"LogicWatcher";"2014-01-27 14:30:01.000";"[Info]";"1";"End of package execution.  "
"569887";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:29:49.000";"[Info]";"0";"Started processing Interest Rate Detail Dimension"
"569886";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:29:37.000";"[Info]";"0";"Started processing Foreign Exchange Detail Dimension"
"569885";"DOM1\S31023";"0";"SM06245";;;;"0";"EMIR-Regulation Cube Processor";"2014-01-27 14:29:23.000";"[Info]";"0";"Started processing Commodities Dimension"
"569881";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:07.000";"[Info]";"100";"Das Lesen von Daten von der Reg Trade Exception Detail-Partition wurde beendet."
"569882";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:07.000";"[Info]";"100";"Das Schreiben von Daten f?r die Reg Trade Exception Detail-Partition wurde beendet."
"569883";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:07.000";"[Info]";"0";"Die Erstellung von Aggregationen und Indizes f?r die Reg Trade Exception Detail-Partition wurde gestartet."
"569884";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:07.000";"[Info]";"0";"Die Erstellung von Indizes f?r die Reg Trade Exception Detail-Partition wurde gestartet."
"569872";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:05.000";"[Info]";"100";"Das Erstellen von Indizes f?r das l EMIR Trade Exception Detail Id-Attribut wurde beendet."
"569873";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:05.000";"[Info]";"100";"Die Verarbeitung der Exception Detail-Dimension wurde beendet."
"569874";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:05.000";"[Info]";"0";"Die Verarbeitung des Exception Analysis-Cubes wurde gestartet."
"569875";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:05.000";"[Info]";"0";"Die Verarbeitung der Exception Counts-Measuregruppe wurde gestartet."
"569876";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:05.000";"[Info]";"0";"Die Verarbeitung der Reg Trade Exception Detail-Partition wurde gestartet."
"569877";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:05.000";"[Info]";"0";"Das Schreiben von Daten f?r die Reg Trade Exception Detail-Partition wird gestartet."
"569878";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:05.000";"[Info]";"0";"      SELECT [dbo_RegTradeExceptionDetail].[dbo_RegTradeExceptionDetail0_0] AS [dbo_RegTradeExceptionDetail0_0],[dbo_RegTradeExceptionDetail].[dbo_RegTradeExceptionDetaillEMIRTradeExceptionDetailID0_1] AS [dbo_RegTradeExceptionDetaillEMIRTradeExceptionDetailID0_1],[dbo_RegTradeExceptionDetail].[dbo_RegTradeExceptionDetaillEMIRTradeExceptiontypeID0_2] AS [dbo_RegTradeExceptionDetaillEMIRTradeExceptiontypeID0_2],[dbo_RegTradeExceptionDetail].[dbo_RegTradeExceptionDetaillInterfacesystemID0_3] AS [dbo_RegTradeExceptionDetaillInterfacesystemID0_3]   FROM        (            SELECT 1   AS [dbo_RegTradeExceptionDetail0_0],[lEMIRTradeExceptionDetailId] AS [dbo_RegTradeExceptionDetaillEMIRTradeExceptionDetailID0_1],[lEMIRTradeExceptionTypeId] AS [dbo_RegTradeExceptionDetaillEMIRTradeExceptiontypeID0_2],[lInterfacesystemId] AS [dbo_RegTradeExceptionDetaillInterfacesystemID0_3]   FROM [dbo].[RegTradeExceptionDetail]      )      AS [dbo_RegTradeExceptionDetail] "
"569879";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:05.000";"[Info]";"100";"      SELECT [dbo_RegTradeExceptionDetail].[dbo_RegTradeExceptionDetail0_0] AS [dbo_RegTradeExceptionDetail0_0],[dbo_RegTradeExceptionDetail].[dbo_RegTradeExceptionDetaillEMIRTradeExceptionDetailID0_1] AS [dbo_RegTradeExceptionDetaillEMIRTradeExceptionDetailID0_1],[dbo_RegTradeExceptionDetail].[dbo_RegTradeExceptionDetaillEMIRTradeExceptiontypeID0_2] AS [dbo_RegTradeExceptionDetaillEMIRTradeExceptiontypeID0_2],[dbo_RegTradeExceptionDetail].[dbo_RegTradeExceptionDetaillInterfacesystemID0_3] AS [dbo_RegTradeExceptionDetaillInterfacesystemID0_3]   FROM        (            SELECT 1   AS [dbo_RegTradeExceptionDetail0_0],[lEMIRTradeExceptionDetailId] AS [dbo_RegTradeExceptionDetaillEMIRTradeExceptionDetailID0_1],[lEMIRTradeExceptionTypeId] AS [dbo_RegTradeExceptionDetaillEMIRTradeExceptiontypeID0_2],[lInterfacesystemId] AS [dbo_RegTradeExceptionDetaillInterfacesystemID0_3]   FROM [dbo].[RegTradeExceptionDetail]      )      AS [dbo_RegTradeExceptionDetail] "
"569880";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:05.000";"[Info]";"0";"Das Lesen von Daten von der Reg Trade Exception Detail-Partition wurde gestartet."
"569862";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:03.000";"[Info]";"100";"Die Verarbeitung der l EMIR Trade Exception Detail Id-Hierarchie wurde beendet."
"569863";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:03.000";"[Info]";"0";"Die Erstellung von Decodierspeichern f?r die l EMIR Trade Exception Detail Id-Hierarchie wird gestartet."
"569864";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:03.000";"[Info]";"0";"Die Erstellung von Decodierspeichern f?r die Run Date-Hierarchie wird gestartet."
"569865";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:03.000";"[Info]";"0";"Die Erstellung von Decodierspeichern f?r die Trade Number-Hierarchie wird gestartet."
"569866";"DOM1\S31023";"0";"SM06245";;;;"0";"Exception Analysis  Cube Process";"2014-01-27 14:29:03.000";"[Info]";"0";"Die Erstellung von Decodierspeichern f?r die Trade Exception-Hierarchie wird gestartet."
